序号,第87行参数值,第92行参数值,keff值,keff变化,keff变化百分比(%),输出文件
1,1.000000E-08,6.289308E-09,1.319150,0.000000,0.0000,1.000000E-08.out
2,1.648686E-08,1.036910E-08,1.317100,-0.002050,-0.1554,1.648686E-08.out
3,2.718167E-08,1.709539E-08,1.313730,-0.005420,-0.4109,2.718167E-08.out
4,4.481405E-08,2.818494E-08,1.308230,-0.010920,-0.8278,4.481405E-08.out
5,7.388431E-08,4.646812E-08,1.299280,-0.019870,-1.5063,7.388431E-08.out
6,1.218121E-07,7.661136E-08,1.284840,-0.034310,-2.6009,1.218121E-07.out
7,2.008299E-07,1.263081E-07,1.261900,-0.057250,-4.3399,2.008299E-07.out
8,3.311055E-07,2.082425E-07,1.226230,-0.092920,-7.0439,3.311055E-07.out
9,5.458891E-07,3.433265E-07,1.172640,-0.146510,-11.1064,5.458891E-07.out
10,9.000000E-07,5.660377E-07,1.096110,-0.223040,-16.9079,9.000000E-07.out
